Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_BAFTA,Win_BAFTA,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Nom_Oscar_bestfilm,Birthyear,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75] ,Age_[75+] ,Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_thriller,Genre_war,Genre_sport,Genre_family,Genre_filmnoir,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_acting,Win_SAG_acting,Nonom_SAG_acting,Nom_SAG_acting,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Female,Nom_Criticschoice_ord,Nom_SAG_acting_ord,Nom_SAG_bestcast_ord,Win_Criticschoice_ord,Win_SAG_acting_ord,Win_SAG_bestcast_ord,Release,Age_ord
Supporting Actor,A Beautiful Day in the Neighborhood,Tom Hanks,,2020,7.5,2020-03-26,95,92,1,1,0,0,0,1,0,0,0,0,0,1,0,5,2,1,1,0,1956,64,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,2,2,1,1,1,1,1,4
Supporting Actor,The Two Popes,Anthony Hopkins,,2020,7.6,2020-12-12,89,89,3,0,0,0,0,1,0,0,0,0,0,1,0,4,1,1,1,0,1937,83,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,2,1,1,1,1,1,0,6
Supporting Actor,The Irishman,Al Pacino,,2020,8.0,2019-11-21,86,96,10,0,0,0,1,1,0,0,0,0,0,1,0,8,1,1,1,1,1940,80,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,2,2,2,1,1,1,4,6
Supporting Actor,The Irishman,Joe Pesci,,2020,8.0,2019-11-21,86,96,10,0,0,0,1,1,0,0,0,0,0,1,0,2,1,1,1,1,1943,77,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,2,2,2,1,1,1,4,6
Supporting Actor,Once Upon a Time in Hollywood,Brad Pitt,,2020,7.7,2019-08-15,70,85,10,0,0,1,0,1,1,0,0,0,0,1,1,3,0,1,0,1,1963,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,2,2,2,2,2,1,3,4
Supporting Actress,Richard Jewell,Kathy Bates,,2020,7.5,2020-01-23,96,75,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1948,72,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,5
Supporting Actress,Marriage Story,Laura Dern,,2020,8.1,2020-12-06,84,95,6,0,0,0,1,1,1,0,0,0,0,1,1,2,0,1,0,1,1967,53,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,2,2,1,2,2,1,4,3
Supporting Actress,Jojo Rabbit,Scarlett Johansson,,2020,8.0,2020-01-23,95,80,6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1984,36,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,2,2,2,1,1,1,1,2
Supporting Actress,Little Women,Florence Pugh,,2020,8.1,2020-01-30,92,95,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1996,24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,2,1,1,1,1,1,1,0
Supporting Actress,Bombshell,Margot Robbie,,2020,6.8,2020-01-09,84,70,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1990,30,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,2,2,2,1,1,1,1,1
