Category,Film,Nominee,Winner,Year,Birthyear,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75],Age_[75+],Female,Rating_IMDB,Release_date,MPAA_rating,Rating_rtcritic,Rating_rtaudience,Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_family,Genre_sport,Genre_western,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Oscarstat_totalnoms,Nom_Oscar_bestfilm,Nom_Criticschoice,Nonom_Criticschoice,Win_Criticschoice,Nowin_Criticschoice,Nom_SAG_acting,Nonom_SAG_acting,Win_SAG_acting,Nowin_SAG_acting,Nom_SAG_bestcast,Nonom_SAG_bestcast,Win_SAG_bestcast,Nowin_SAG_bestcast,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Nom_BAFTA,Win_BAFTA
Supporting Actor,The Banshees of Inisherin,Brendan Gleeson,0,2023,1955,0,0,0,0,68,0,0,0,0,0,1,0,0,7.7,2022-11-04,R,96,75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,1,0,1,0
Supporting Actor,Causeway,Brian Tyree Henry,0,2023,1982,0,0,0,0,41,0,0,1,0,0,0,0,0,6.6,2022-11-04,R,85,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,,,,,0,0,0,0
Supporting Actor,The Banshees of Inisherin,Barry Keoghan,0,2023,1992,0,0,0,0,31,0,1,0,0,0,0,0,0,7.7,2022-11-04,R,96,75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,1,0,1,1
Supporting Actor,The Fabelmans,Judd Hirsch,0,2023,1935,1,0,1,0,88,0,0,0,0,0,0,1,0,7.5,2022-11-23,PG-13,92,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1,1,0,0,1,0,1,0,1,1,0,0,1,,,,,0,0,0,0
Supporting Actor,Everything Everywhere All at Once,Ke Huy Quan,1,2023,1970,0,0,0,0,53,0,0,0,1,0,0,0,0,7.8,2022-04-08,R,94,79,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,1,1,0,1,0,1,0,1,0,1,0,1,0,,,,,1,1,1,0
Supporting Actress,Black Panther: Wakanda Forever,Angela Bassett,0,2023,1958,1,0,1,0,65,0,0,0,0,1,0,0,1,6.7,2022-11-11,PG-13,84,94,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,1,0,1,0,1,0,0,1,0,1,0,1,,,,,1,1,1,0
Supporting Actress,The Whale,Hong Chau,0,2023,1979,0,0,0,0,44,0,0,1,0,0,0,0,1,7.6,2022-12-21,R,64,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,1,1,0,0,1,0,1,0,1,,,,,0,0,1,0
Supporting Actress,Everything Everywhere All at Once,Stephanie Hsu,0,2023,1990,0,0,0,0,33,0,1,0,0,0,0,0,1,7.8,2022-04-08,R,94,79,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,1,1,0,0,1,1,0,0,1,1,0,1,0,,,,,0,0,0,0
Supporting Actress,The Banshees of Inisherin,Kerry Condon,0,2023,1983,0,0,0,0,40,0,0,1,0,0,0,0,1,7.7,2022-11-04,R,96,75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,1,0,1,1
Supporting Actress,Everything Everywhere All at Once,Jamie Lee Curtis,1,2023,1958,0,0,0,0,65,0,0,0,0,1,0,0,1,7.8,2022-04-08,R,94,79,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,1,1,0,0,1,1,0,1,0,1,0,1,0,,,,,1,0,1,0
